Date,Price,Open,High,Low,Vol.,Change %
7-Dec-18,4.488,4.348,4.57,4.231,-,3.72%
6-Dec-18,4.327,4.45,4.489,4.271,132.56K,-3.18%
5-Dec-18,4.469,4.518,4.63,4.404,105.11K,0.27%
4-Dec-18,4.457,4.392,4.574,4.358,159.87K,2.72%
3-Dec-18,4.339,4.527,4.536,4.243,190.57K,-5.92%
30-Nov-18,4.612,4.584,4.776,4.473,167.70K,-0.73%
29-Nov-18,4.646,4.671,4.674,4.452,191.44K,-1.46%
28-Nov-18,4.715,4.199,4.806,4.19,18.26K,10.63%
27-Nov-18,4.262,4.224,4.325,4.104,62.83K,0.33%
26-Nov-18,4.248,4.068,4.282,3.99,67.98K,-1.39%
23-Nov-18,4.308,4.471,4.563,4.117,121.02K,0.94%
22-Nov-18,4.268,4.485,4.53,4.119,-,-4.11%
21-Nov-18,4.451,4.536,4.864,4.42,197.74K,-1.59%
20-Nov-18,4.523,4.583,4.672,4.274,238.95K,-3.77%
19-Nov-18,4.7,4.625,4.779,4.427,264.57K,10.02%
16-Nov-18,4.272,3.907,4.39,3.907,270.72K,5.79%
15-Nov-18,4.038,4.672,4.8,3.882,362.51K,-16.52%
14-Nov-18,4.837,4.072,4.929,4.05,459.20K,17.95%
13-Nov-18,4.101,3.934,4.11,3.902,345.40K,8.26%
12-Nov-18,3.788,3.745,3.954,3.735,243.97K,1.86%
9-Nov-18,3.719,3.555,3.824,3.552,288.06K,4.97%
8-Nov-18,3.543,3.53,3.568,3.493,166.77K,-0.34%
7-Nov-18,3.555,3.543,3.56,3.486,173.38K,0.00%
6-Nov-18,3.555,3.55,3.581,3.514,178.56K,-0.34%
5-Nov-18,3.567,3.471,3.576,3.437,307.24K,8.62%
2-Nov-18,3.284,3.239,3.313,3.166,168.96K,1.45%
1-Nov-18,3.237,3.284,3.318,3.216,152.76K,-0.74%
31-Oct-18,3.261,3.21,3.294,3.207,175.41K,2.32%
30-Oct-18,3.187,3.184,3.281,3.166,146.79K,0.06%
29-Oct-18,3.185,3.139,3.199,3.1,10.67K,0.00%
26-Oct-18,3.185,3.169,3.203,3.102,64.45K,-0.53%
25-Oct-18,3.202,3.185,3.233,3.153,63.88K,1.14%
24-Oct-18,3.166,3.216,3.25,3.159,113.61K,-1.43%
23-Oct-18,3.212,3.134,3.24,3.111,178.75K,2.36%
22-Oct-18,3.138,3.227,3.247,3.126,172.06K,-3.45%
19-Oct-18,3.25,3.226,3.258,3.155,142.39K,1.63%
18-Oct-18,3.198,3.319,3.323,3.193,183.52K,-3.67%
17-Oct-18,3.32,3.253,3.34,3.24,157.40K,2.50%
16-Oct-18,3.239,3.258,3.311,3.21,132.49K,-0.09%
15-Oct-18,3.242,3.224,3.273,3.177,159.11K,2.56%
12-Oct-18,3.161,3.234,3.27,3.138,176.42K,-1.89%
11-Oct-18,3.222,3.276,3.287,3.153,264.68K,-1.89%
10-Oct-18,3.284,3.306,3.358,3.251,236.73K,0.55%
9-Oct-18,3.266,3.281,3.368,3.237,287.65K,-0.03%
8-Oct-18,3.267,3.182,3.294,3.174,233.74K,3.95%
5-Oct-18,3.143,3.189,3.224,3.109,199.27K,-0.70%
4-Oct-18,3.165,3.238,3.25,3.129,242.16K,-2.01%
3-Oct-18,3.23,3.164,3.261,3.155,207.04K,2.02%
2-Oct-18,3.166,3.114,3.194,3.109,239.37K,2.33%
1-Oct-18,3.094,3.007,3.117,3.001,202.84K,2.86%
28-Sep-18,3.008,3.057,3.062,2.977,166.73K,-1.57%
27-Sep-18,3.056,2.972,3.111,2.963,250.44K,1.16%
26-Sep-18,3.021,3.079,3.088,2.981,12.69K,-1.98%
25-Sep-18,3.082,3.043,3.087,3.02,62.95K,1.45%
24-Sep-18,3.038,2.973,3.048,2.951,80.66K,2.05%
21-Sep-18,2.977,2.962,2.989,2.938,118.89K,0.03%
20-Sep-18,2.976,2.904,2.991,2.886,192.07K,2.34%
19-Sep-18,2.908,2.926,2.948,2.898,148.13K,-0.85%
18-Sep-18,2.933,2.814,2.937,2.811,238.59K,4.23%
17-Sep-18,2.814,2.774,2.83,2.772,174.82K,1.70%
14-Sep-18,2.767,2.81,2.814,2.762,151.71K,-1.77%
13-Sep-18,2.817,2.824,2.856,2.805,143.26K,-0.42%
12-Sep-18,2.829,2.828,2.869,2.818,156.79K,0.04%
11-Sep-18,2.828,2.807,2.836,2.785,135.67K,0.86%
10-Sep-18,2.804,2.77,2.814,2.752,160.40K,1.01%
7-Sep-18,2.776,2.777,2.785,2.759,112.50K,0.14%
6-Sep-18,2.772,2.793,2.797,2.765,141.04K,-0.82%
5-Sep-18,2.795,2.815,2.843,2.786,138.64K,-0.99%
4-Sep-18,2.823,2.9,2.904,2.812,217.01K,-1.47%
3-Sep-18,2.865,2.896,2.896,2.82,-,-1.10%
2-Sep-18,2.897,2.901,2.902,2.882,-,-0.65%
31-Aug-18,2.916,2.886,2.931,2.882,121.71K,1.46%
30-Aug-18,2.874,2.875,2.89,2.841,116.91K,-0.73%
29-Aug-18,2.895,2.857,2.905,2.843,7.57K,1.51%
28-Aug-18,2.852,2.876,2.883,2.845,41.93K,-0.83%
27-Aug-18,2.876,2.908,2.915,2.874,61.68K,-1.41%
24-Aug-18,2.917,2.972,2.979,2.911,101.42K,-1.59%
23-Aug-18,2.964,2.958,2.982,2.935,106.84K,0.27%
22-Aug-18,2.956,2.991,2.993,2.953,96.25K,-0.81%
21-Aug-18,2.98,2.953,2.991,2.953,112.32K,1.33%
20-Aug-18,2.941,2.94,2.954,2.903,123.49K,-0.17%
17-Aug-18,2.946,2.908,2.968,2.908,119.42K,1.31%
16-Aug-18,2.908,2.939,2.949,2.891,125.46K,-1.09%
15-Aug-18,2.94,2.952,2.963,2.93,93.17K,-0.64%
14-Aug-18,2.959,2.926,2.974,2.922,123.29K,0.99%
13-Aug-18,2.93,2.936,2.946,2.897,126.59K,-0.48%
10-Aug-18,2.944,2.946,2.955,2.917,140.74K,-0.37%
9-Aug-18,2.955,2.943,2.959,2.93,177.24K,0.20%
8-Aug-18,2.949,2.893,2.951,2.884,195.74K,1.79%
7-Aug-18,2.897,2.861,2.9,2.857,153.53K,1.29%
6-Aug-18,2.86,2.851,2.865,2.822,99.79K,0.25%
3-Aug-18,2.853,2.819,2.862,2.814,150.12K,1.31%
2-Aug-18,2.816,2.745,2.828,2.74,176.00K,2.10%
1-Aug-18,2.758,2.78,2.788,2.744,118.79K,-0.86%
31-Jul-18,2.782,2.801,2.831,2.772,154.92K,-0.54%
30-Jul-18,2.797,2.794,2.814,2.766,124.25K,-0.89%
27-Jul-18,2.822,2.775,2.831,2.769,6.92K,1.51%
26-Jul-18,2.78,2.777,2.799,2.769,44.27K,0.18%
25-Jul-18,2.775,2.739,2.78,2.735,45.44K,1.57%
24-Jul-18,2.732,2.723,2.744,2.71,78.52K,0.40%
23-Jul-18,2.721,2.737,2.741,2.713,109.97K,-1.31%
20-Jul-18,2.757,2.767,2.784,2.754,92.13K,-0.43%
19-Jul-18,2.769,2.731,2.776,2.704,134.44K,1.76%
18-Jul-18,2.721,2.744,2.754,2.72,111.41K,-0.69%
17-Jul-18,2.74,2.768,2.788,2.731,109.35K,-0.69%
16-Jul-18,2.759,2.765,2.778,2.735,110.05K,0.25%
13-Jul-18,2.752,2.802,2.812,2.75,134.29K,-1.61%
12-Jul-18,2.797,2.822,2.827,2.789,114.89K,-1.13%
11-Jul-18,2.829,2.787,2.832,2.78,111.02K,1.47%
10-Jul-18,2.788,2.829,2.835,2.782,127.27K,-1.41%
9-Jul-18,2.828,2.839,2.865,2.817,126.58K,-1.05%
6-Jul-18,2.858,2.83,2.862,2.824,105.97K,0.74%
5-Jul-18,2.837,2.858,2.894,2.822,129.00K,-0.14%
4-Jul-18,2.841,2.849,2.893,2.822,-,-1.01%
3-Jul-18,2.87,2.861,2.903,2.852,121.58K,0.28%
