Date,Price,Open,High,Low,Vol.,Change %
12-Sep-18,"1,211.60","1,203.50","1,213.90","1,197.60",304.32K,0.66%
11-Sep-18,"1,203.60","1,200.40","1,204.80","1,192.70",263.07K,0.22%
10-Sep-18,"1,201.00","1,200.70","1,203.80","1,196.20",213.40K,-0.07%
7-Sep-18,"1,201.80","1,205.60","1,209.00","1,198.70",287.65K,-0.29%
6-Sep-18,"1,205.30","1,202.50","1,212.70","1,200.50",284.20K,0.87%
5-Sep-18,"1,194.90","1,192.50","1,196.00","1,192.50",209.56K,0.18%
4-Sep-18,"1,192.70","1,199.30","1,200.50","1,189.90",421.47K,-1.13%
3-Sep-18,"1,206.30","1,204.90","1,209.60","1,201.30",-,0.12%
2-Sep-18,"1,204.90","1,206.20","1,206.60","1,204.50",-,0.38%
31-Aug-18,"1,200.30","1,207.10","1,208.20","1,199.10",265.11K,-0.46%
30-Aug-18,"1,205.80","1,212.60","1,214.00","1,202.10",288.07K,-0.58%
29-Aug-18,"1,212.80","1,206.60","1,213.70","1,206.60",241.90K,0.45%
28-Aug-18,"1,207.40","1,209.70","1,217.00","1,202.30",273.18K,-0.13%
27-Aug-18,"1,209.00","1,210.30","1,211.40","1,205.20",209.19K,-0.27%
24-Aug-18,"1,212.30","1,191.60","1,215.40","1,189.50",293.98K,1.72%
23-Aug-18,"1,191.80","1,202.80","1,203.40","1,190.20",232.88K,-1.14%
22-Aug-18,"1,205.50","1,203.00","1,208.40","1,199.20",234.15K,0.23%
21-Aug-18,"1,202.70","1,197.30","1,204.30","1,194.30",218.29K,0.45%
20-Aug-18,"1,197.30","1,190.40","1,197.70","1,189.60",205.77K,0.46%
17-Aug-18,"1,191.80","1,180.70","1,192.00","1,178.50",255.79K,0.91%
16-Aug-18,"1,181.00","1,183.00","1,189.00","1,167.10",362.11K,-0.07%
15-Aug-18,"1,181.80","1,201.50","1,202.00","1,180.00",377.68K,-1.61%
14-Aug-18,"1,201.10","1,201.10","1,205.80","1,198.90",242.55K,0.05%
13-Aug-18,"1,200.50","1,218.40","1,221.40","1,198.60",374.12K,-1.53%
10-Aug-18,"1,219.20","1,220.00","1,224.90","1,213.10",328.24K,-0.07%
9-Aug-18,"1,220.00","1,222.00","1,225.60","1,218.40",232.04K,-0.15%
8-Aug-18,"1,221.80","1,218.70","1,223.80","1,213.60",263.24K,0.25%
7-Aug-18,"1,218.80","1,215.80","1,224.30","1,215.60",205.38K,0.26%
6-Aug-18,"1,215.60","1,222.00","1,226.00","1,214.40",199.54K,0.12%
3-Aug-18,"1,214.20","1,206.50","1,218.60","1,205.10",280.21K,0.30%
2-Aug-18,"1,210.60","1,214.70","1,219.30","1,205.80",234.63K,-0.60%
1-Aug-18,"1,217.90","1,222.90","1,223.70","1,214.40",218.46K,-0.47%
31-Jul-18,"1,223.70","1,220.40","1,228.10","1,213.00",2.72K,0.20%
30-Jul-18,"1,221.30","1,222.50","1,223.90","1,218.10",62.24K,-0.07%
27-Jul-18,"1,222.20","1,222.40","1,226.90","1,216.70",-,0.01%
26-Jul-18,"1,222.10","1,231.70","1,235.30","1,221.70",0.00K,-0.79%
25-Jul-18,"1,231.80","1,224.20","1,234.30","1,223.20",-,0.60%
24-Jul-18,"1,224.50","1,224.40","1,229.70","1,218.10",-,0.00%
23-Jul-18,"1,224.50","1,231.70","1,235.20","1,222.20",0.00K,-0.60%
20-Jul-18,"1,231.90","1,222.90","1,232.40","1,215.30",-,0.78%
19-Jul-18,"1,222.40","1,227.20","1,228.00","1,211.70",0.03K,-0.40%
18-Jul-18,"1,227.30","1,227.00","1,229.10","1,220.90",0.07K,-0.01%
17-Jul-18,"1,227.40","1,240.80","1,245.10","1,225.90",-,-0.86%
16-Jul-18,"1,238.10","1,242.70","1,243.80","1,242.70",0.00K,-0.12%
13-Jul-18,"1,239.60","1,244.70","1,247.00","1,244.70",0.00K,-0.43%
12-Jul-18,"1,245.00","1,240.90","1,246.70","1,240.90",0.01K,0.26%
11-Jul-18,"1,241.80","1,256.70","1,257.30","1,241.70",0.03K,-0.96%
10-Jul-18,"1,253.80","1,256.20","1,256.90","1,249.30",0.07K,-0.34%
9-Jul-18,"1,258.10","1,258.20","1,262.30","1,257.70",0.04K,0.18%
6-Jul-18,"1,255.90","1,258.40","1,260.20","1,253.70",0.01K,-0.11%
5-Jul-18,"1,257.30","1,253.70","1,259.90","1,253.60",0.01K,-0.06%
4-Jul-18,"1,258.10","1,256.20","1,262.40","1,255.30",-,0.52%
3-Jul-18,"1,251.60","1,238.10","1,254.10","1,237.00",0.04K,0.71%
2-Jul-18,"1,242.80","1,253.40","1,255.60","1,240.60",0.03K,-0.68%
29-Jun-18,"1,251.30","1,250.30","1,253.30","1,249.10",0.05K,0.14%
28-Jun-18,"1,249.50","1,253.60","1,255.80","1,247.20",0.38K,-0.34%
27-Jun-18,"1,253.80","1,260.50","1,261.90","1,252.20",0.01K,-0.56%
26-Jun-18,"1,260.80","1,267.30","1,269.40","1,256.40",0.09K,-0.38%
25-Jun-18,"1,265.60","1,270.60","1,271.20","1,265.90",0.04K,-0.14%
22-Jun-18,"1,267.40","1,268.10","1,270.20","1,267.00",0.07K,-0.13%
21-Jun-18,"1,269.00","1,269.70","1,272.30","1,262.40",0.05K,-0.08%
20-Jun-18,"1,270.00","1,277.30","1,278.60","1,269.60",0.01K,-0.55%
19-Jun-18,"1,277.00","1,280.70","1,286.80","1,272.60",0.03K,-0.28%
18-Jun-18,"1,280.60","1,281.10","1,284.90","1,279.50",0.04K,-0.11%
15-Jun-18,"1,282.00","1,305.90","1,306.70","1,277.90",0.59K,-1.69%
14-Jun-18,"1,304.00","1,297.20","1,307.70","1,297.20",0.04K,0.55%
13-Jun-18,"1,296.90","1,294.00","1,299.40","1,290.90",0.14K,0.14%
12-Jun-18,"1,295.10","1,297.80","1,298.10","1,292.70",0.15K,-0.29%
11-Jun-18,"1,298.90","1,299.30","1,302.00","1,295.20",0.07K,0.06%
8-Jun-18,"1,298.10","1,295.30","1,299.40","1,294.80",0.65K,-0.05%
7-Jun-18,"1,298.70","1,298.40","1,302.80","1,296.20",0.08K,0.12%
6-Jun-18,"1,297.10","1,296.10","1,300.40","1,294.10",0.37K,-0.03%
5-Jun-18,"1,297.50","1,292.10","1,299.80","1,289.90",0.36K,0.34%
4-Jun-18,"1,293.10","1,293.90","1,297.10","1,290.00",0.14K,-0.13%
1-Jun-18,"1,294.80","1,298.60","1,299.50","1,288.90",0.66K,-0.41%
31-May-18,"1,300.10","1,301.00","1,306.80","1,296.60",4.08K,-0.11%
30-May-18,"1,301.50","1,298.00","1,303.70","1,295.20",50.85K,0.25%
29-May-18,"1,298.30","1,299.00","1,306.10","1,291.40",0.00K,0.05%
28-May-18,"1,297.60","1,298.40","1,299.70","1,294.70",-,-0.05%
27-May-18,"1,298.30","1,299.80","1,299.90","1,296.10",-,-0.22%
25-May-18,"1,301.20","1,304.00","1,307.20","1,299.40",0.00K,-0.21%
24-May-18,"1,304.00","1,293.30","1,306.40","1,292.20",-,0.85%
23-May-18,"1,293.00","1,290.60","1,298.40","1,286.70",0.01K,0.19%
22-May-18,"1,290.50","1,292.30","1,296.00","1,287.20",0.05K,-0.12%
21-May-18,"1,292.00","1,290.30","1,292.70","1,281.20",0.05K,0.02%
18-May-18,"1,291.70","1,290.00","1,293.70","1,285.10",0.00K,0.13%
17-May-18,"1,290.00","1,290.20","1,294.00","1,284.00",0.00K,-0.02%
16-May-18,"1,290.20","1,290.90","1,294.00","1,285.40",0.03K,0.01%
15-May-18,"1,290.10","1,313.20","1,314.70","1,288.20",0.01K,-1.76%
14-May-18,"1,313.20","1,318.30","1,322.40","1,312.80",0.00K,-0.39%
11-May-18,"1,318.40","1,321.80","1,326.30","1,317.00",0.00K,-0.18%
10-May-18,"1,320.80","1,312.20","1,318.00","1,312.20",0.01K,0.61%
9-May-18,"1,312.80","1,315.30","1,317.80","1,304.20",0.07K,-0.17%
8-May-18,"1,315.00","1,314.10","1,318.50","1,306.20",0.34K,0.03%
7-May-18,"1,314.60","1,316.30","1,320.10","1,310.60",0.00K,-0.11%
4-May-18,"1,316.00","1,312.80","1,316.90","1,308.50",-,0.24%
3-May-18,"1,312.80","1,305.50","1,319.00","1,305.20",0.00K,0.78%
2-May-18,"1,302.60","1,309.00","1,309.30","1,303.70",0.02K,-0.09%
1-May-18,"1,303.80","1,313.20","1,313.80","1,303.40",0.03K,-0.94%
30-Apr-18,"1,316.20","1,309.60","1,313.30","1,309.60",0.05K,-0.31%
