Symbol,Exchange,Name,Months,Quandl Code
CT,MCX,Cotton,FGHJZ,MCX/CT
CU,MCX,Copper,GJM,MCX/CU
CUM,MCX,Copper Mini,GJM,MCX/CUM
AL,MCX,Aluminium,FGZ,MCX/AL
ALM,MCX,Aluminium Mini,FGZ,MCX/ALM
ZN,MCX,Zinc,FGZ,MCX/ZN
ZNM,MCX,Zinc Mini,FGHZ,MCX/ZNM
PB,MCX,Lead,FGZ,MCX/PB
PBM,MCX,Lead Mini,FGHZ,MCX/PBM
NI,MCX,Nickel,FGZ,MCX/NI
NIM,MCX,Nickel Mini,FGHZ,MCX/NIM
GC,MCX,Gold,GJMQZ,MCX/GC
GG,MCX,Gold Guinea,FGZ,MCX/GG
GM,MCX,Gold Mini,FGZ,MCX/GM
GP,MCX,Gold Petal,FGZ,MCX/GP
GD,MCX,Gold Petal New Delhi,FGZ,MCX/GD
SI,MCX,Silver,HKN,MCX/SI
SIM,MCX,Silver Mini,GJMQ,MCX/SIM
AG,MCX,Silver 1000,FZ,MCX/AG
AGM,MCX,Silver Micro,GJM,MCX/AGM
STLRPR,MCX,Steel,FZ,MCX/STLRPR
B,MCX,Brent Crude Oil,FZ,MCX/B
CL,MCX,Crude Oil,FGHJKZ,MCX/CL
NG,MCX,Natural Gas,FGZ,MCX/NG
CRDM,MCX,Cardamom,FGHJZ,MCX/CRDM
GRM,MCX,Guar Gum,FGZ,MCX/GRM
GRS,MCX,Guar Seed,FHJZ,MCX/GRS
KP,MCX,Kapas,HJ,MCX/KP
KPK,MCX,Kapaisa Khali,FGZ,MCX/KPK
MO,MCX,Mentha Oil,FGHZ,MCX/MO
POT,MCX,Potato,HJKM,MCX/POT
