code,name,description,refreshed_at,from_date,to_date
AGF2014,"Silver 1000 Futures, January 2014, AGF2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, January 2014, AGF2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG.     Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-01-2014 16:53,06-12-2013,31-01-2014
AGF2015,"Silver 1000 Futures, January 2015, AGF2015, MCX","Historical MCX Futures Prices: Silver 1000 Futures, January 2015, AGF2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-01-2015 11:11,20-10-2014,30-01-2015
AGF2016,"Silver 1000 Futures, January 2016, AGF2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, January 2016, AGF2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-02-2016 11:02,29-09-2015,29-01-2016
AGF2017,"Silver 1000 Futures, January 2017, AGF2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, January 2017, AGF2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",02-02-2017 13:17,01-02-2016,02-02-2017
AGF2018,"Silver 1000 Futures, January 2018, AGF2018, MCX","Historical MCX Futures Prices: Silver 1000 Futures, January 2018, AGF2018, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-01-2018 23:03,02-02-2017,31-01-2018
AGG2014,"Silver 1000 Futures, February 2014, AGG2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, February 2014, AGG2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG.     Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",27-02-2014 17:48,16-12-2013,27-02-2014
AGG2015,"Silver 1000 Futures, February 2015, AGG2015, MCX","Historical MCX Futures Prices: Silver 1000 Futures, February 2015, AGG2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",27-02-2015 11:11,15-12-2014,27-02-2015
AGG2016,"Silver 1000 Futures, February 2016, AGG2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, February 2016, AGG2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-03-2016 11:02,29-09-2015,29-02-2016
AGG2017,"Silver 1000 Futures, February 2017, AGG2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, February 2017, AGG2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-03-2017 22:01,01-03-2016,01-03-2017
AGG2018,"Silver 1000 Futures, February 2018, AGG2018, MCX","Historical MCX Futures Prices: Silver 1000 Futures, February 2018, AGG2018, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-02-2018 23:01,02-03-2017,28-02-2018
AGH2014,"Silver 1000 Futures, March 2014, AGH2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, March 2014, AGH2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG.     Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-03-2014 17:30,02-01-2014,31-03-2014
AGH2016,"Silver 1000 Futures, March 2016, AGH2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, March 2016, AGH2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-04-2016 11:02,29-09-2015,31-03-2016
AGH2017,"Silver 1000 Futures, March 2017, AGH2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, March 2017, AGH2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-03-2017 23:02,01-04-2016,31-03-2017
AGJ2014,"Silver 1000 Futures, April 2014, AGJ2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, April 2014, AGJ2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG.     Open, High, Low and Close prices are in Indian Rupees. Volume and Prev. Day Open Interest are in Lots.",30-04-2014 16:25,11-04-2014,30-04-2014
AGJ2016,"Silver 1000 Futures, April 2016, AGJ2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, April 2016, AGJ2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",02-05-2016 11:03,29-09-2015,29-04-2016
AGJ2017,"Silver 1000 Futures, April 2017, AGJ2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, April 2017, AGJ2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-04-2017 23:02,02-05-2016,28-04-2017
AGK2014,"Silver 1000 Futures, May 2014, AGK2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, May 2014, AGK2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG.     Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-05-2014 08:09,07-05-2014,30-05-2014
AGK2016,"Silver 1000 Futures, May 2016, AGK2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, May 2016, AGK2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",31-05-2016 22:01,29-09-2015,31-05-2016
AGK2017,"Silver 1000 Futures, May 2017, AGK2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, May 2017, AGK2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-06-2017 23:01,01-06-2016,01-06-2017
AGM2014,"Silver 1000 Futures, June 2014, AGM2014, MCX","Historical MCX Futures Prices: Silver 1000 Futures, June 2014, AGM2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-06-2014 16:01,07-05-2014,30-06-2014
AGM2016,"Silver 1000 Futures, June 2016, AGM2016, MCX","Historical MCX Futures Prices: Silver 1000 Futures, June 2016, AGM2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-07-2016 22:02,29-09-2015,01-07-2016
AGM2017,"Silver 1000 Futures, June 2017, AGM2017, MCX","Historical MCX Futures Prices: Silver 1000 Futures, June 2017, AGM2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",30-06-2017 23:02,04-07-2016,30-06-2017
AGMF2018,"Silver Micro Futures, January 2018, AGMF2018, MCX","Historical MCX Futures Prices: Silver Micro Futures, January 2018, AGMF2018, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",23-01-2018 23:04,02-01-2018,23-01-2018
AGMG2014,"Silver Micro Futures, February 2014, AGMG2014, MCX","Historical MCX Futures Prices: Silver Micro Futures, February 2014, AGMG2014, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG.     Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-02-2014 17:27,06-12-2013,28-02-2014
AGMG2015,"Silver Micro Futures, February 2015, AGMG2015, MCX","Historical MCX Futures Prices: Silver Micro Futures, February 2015, AGMG2015, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",27-02-2015 11:11,01-10-2014,27-02-2015
AGMG2016,"Silver Micro Futures, February 2016, AGMG2016, MCX","Historical MCX Futures Prices: Silver Micro Futures, February 2016, AGMG2016, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-03-2016 11:02,02-06-2015,29-02-2016
AGMG2017,"Silver Micro Futures, February 2017, AGMG2017, MCX","Historical MCX Futures Prices: Silver Micro Futures, February 2017, AGMG2017, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",01-03-2017 22:01,01-06-2016,01-03-2017
AGMG2018,"Silver Micro Futures, February 2018, AGMG2018, MCX","Historical MCX Futures Prices: Silver Micro Futures, February 2018, AGMG2018, Multi Commodity Exchange India. Trading Unit: 1 KG. Quotation: 1 KG. Tick size: Re. 1 per KG. Open, High, Low and Close prices are in Indian Rupees. Volume and Open Interest are in Lots.",28-02-2018 23:01,02-06-2017,28-02-2018
