serial,Source,commodity,Date,Sentence,polarity,subjectivety,Sentiment_type
39,Money Control,natural gas,17.11.2018,Gas production has hit a record high in US but the rapid rise in exports has consumed a large part of the additional gas production,0.187142857,0.484285714,Positive
215,Money Control,natural gas,28.09.2018,"Natural gas prices are set every six months based on average rates in gas-surplus nations like the US, Russia and Canada.",-0.025,0.4,Negative
316,Money Control,natural gas,18.08.2018,"Natural Gas prices are also above the 50-day SMA (Orange Line) and RSI is above 50 mark, which indicates prices could edge higher in near term",0.09,0.3,Positive
328,Money Control,natural gas,13.08.2018,Hareesh V of Geojit Financial Services said immediate support for natural gas is placed at Rs 185 mmbtu and resistance at Rs 220 mmbtu,0.05,0.2,Positive
1553,Money Control,natural gas,31.05.2017,"According to Sushil Finance, expect Natural gas prices to trade negative on the back of unfavorable weather conditions.",-0.066666667,0.266666667,Negative
1590,Money Control,natural gas,26.05.2017,"According to Sushil Finance, expect Natural gas prices to trade sideways on the back of short covering after drop in prices.",0.033333333,0.233333333,Positive
1802,Money Control,natural gas,24.04.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of short covering after drop in prices.",0.081818182,0.311363636,Positive
1812,Money Control,natural gas,21.04.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of short covering after drop in prices.",0.081818182,0.311363636,Positive
1855,Money Control,natural gas,17.04.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of short covering after drop in prices.",0.081818182,0.311363636,Positive
1864,Money Control,natural gas,13.04.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of short covering after drop in prices.",0.081818182,0.311363636,Positive
1898,Money Control,natural gas,10.04.2017,"According to Sushil Finance, expect Natural gas prices to trade sideways on the back of short covering after drop in prices.",0.033333333,0.233333333,Positive
1907,Money Control,natural gas,07.04.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of weak production.",-0.011931818,0.392613636,Negative
1917,Money Control,natural gas,06.04.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of weak production.",-0.011931818,0.392613636,Negative
1930,Money Control,natural gas,05.04.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of weak production.",-0.011931818,0.392613636,Negative
1943,Money Control,natural gas,03.04.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of weak production.",-0.011931818,0.392613636,Negative
1954,Money Control,natural gas,31.03.2017,"Natural gas price was today cut marginally to USD 2.48 per million British thermal unit, the fifth reduction in two years.",0.05,0.2,Positive
1965,Money Control,natural gas,31.03.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of weak production.",-0.011931818,0.392613636,Negative
1972,Money Control,natural gas,30.03.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of weak production.",-0.011931818,0.392613636,Negative
1991,Money Control,natural gas,29.03.2017,"According to Sushil Finance, expect Natural gas prices to trade positive on the back of weak production.",-0.011931818,0.392613636,Negative
2006,Money Control,natural gas,27.03.2017,"According to Sushil Finance, expect Natural gas prices to trade sideways on the back of profit booking after sharp up-move.",-0.008333333,0.383333333,Negative
2007,Money Control,natural gas,27.03.2017,"According to Sushil Finance, expect Natural gas prices to trade sideways on the back of profit booking after sharp up-move.",-0.008333333,0.383333333,Negative
2018,Money Control,natural gas,24.03.2017,"According to Sushil Finance, expect Natural gas prices to trade sideways on the back of profit booking after sharp up-move.",-0.008333333,0.383333333,Negative
2030,Money Control,natural gas,23.03.2017,"According to Sushil Finance, expect Natural gas prices to trade sideways on the back of profit booking after sharp up-move.",-0.008333333,0.383333333,Negative
2042,Money Control,natural gas,22.03.2017,"According to Sushil Finance, expect Natural gas prices to trade sideways on the back of profit booking after sharp up-move.",-0.008333333,0.383333333,Negative
2103,Money Control,natural gas,10.03.2017,"According to Sushil Finance, We expect Natural gas prices to trade sideways on the back of profit booking after sharp up-move in prices.",-0.008333333,0.383333333,Negative
2115,Money Control,natural gas,09.03.2017,"According to Sushil Finance, We expect Natural gas prices to trade negative on the back of profit booking after sharp up-move in prices.",-0.08125,0.3875,Negative
2469,Money Control,natural gas,28.12.2016,U.S. natural gas edges lower amid year-end profit-taking,0.1,0.4,Positive
2471,Money Control,natural gas,28.12.2016,Frigid winter weather driving natural gas consumption to record levels,-0.4,0.7,Negative
2514,Money Control,natural gas,20.12.2016,U.S. natural gas slides to 3-week low on forecasts for less cold,-0.166666667,0.441666667,Negative
2522,Money Control,natural gas,19.12.2016,U.S. natural gas futures fall to 2-week low,0.05,0.35,Positive
2756,Money Control,natural gas,15.11.2016,U.S. natural gas climbs to 1-week high on cold East Coast weather,-0.113333333,0.646666667,Negative
2769,Money Control,natural gas,14.11.2016,U.S. natural gas rebounds 5% after sizable losses last week,0.05,0.233333333,Positive
2841,Money Control,natural gas,03.11.2016,U.S. natural gas pushes higher after weekly storage data,0.175,0.45,Positive
2851,Money Control,natural gas,02.11.2016,U.S. natural gas slides to 8-week low ahead of weekly storage data,0.05,0.35,Positive
2897,Money Control,natural gas,27.10.2016,U.S. natural gas extends gains after weekly storage data,0.1,0.4,Positive
2908,Money Control,natural gas,26.10.2016,U.S. natural gas falls to 7-week lows ahead of weekly storage data,0.1,0.4,Positive
2917,Money Control,natural gas,25.10.2016,U.S. natural gas sinks 5% on unseasonably warm weather outlook,0.2,0.333333333,Positive
3047,Money Control,natural gas,06.10.2016,U.S. natural gas falls below $3 after bearish weekly storage data,0.1,0.4,Positive
3059,Money Control,natural gas,05.10.2016,U.S. natural gas falls towards 3-week low ahead of weekly storage data,0.05,0.35,Positive
3094,Money Control,natural gas,29.09.2016,U.S. natural gas turns higher after bullish weekly storage data,0.175,0.45,Positive
3108,Money Control,natural gas,28.09.2016,U.S. natural gas slides below $3 ahead of weekly storage data,0.1,0.4,Positive
3114,Money Control,natural gas,27.09.2016,U.S. natural gas wobbles below 20-month peak amid strong demand,0.266666667,0.566666667,Positive
3122,Money Control,natural gas,26.09.2016,U.S. natural gas climbs back towards 20-month highs,0.05,0.2,Positive
3146,Money Control,natural gas,22.09.2016,U.S. natural gas futures turn lower after weekly storage data,0.1,0.4,Positive
3179,Money Control,natural gas,19.09.2016,U.S. natural gas edges lower but remains near 3-month highs,0.1,0.4,Positive
3239,Money Control,natural gas,08.09.2016,U.S. natural gas futures extend gains after upbeat storage data,0.1,0.4,Positive
3302,Money Control,natural gas,31.08.2016,U.S. natural gas rebounds as traders await weekly storage data,0.1,0.4,Positive
3312,Money Control,natural gas,30.08.2016,U.S. natural gas touches fresh 8-week high on tropical storm activity,0.186666667,0.48,Positive
3329,Money Control,natural gas,29.08.2016,U.S. natural gas climbs to 8-week high amid bullish momentum,0.13,0.47,Positive
3360,Money Control,natural gas,25.08.2016,U.S. natural gas futures jump to 3-week highs after storage data,0.1,0.4,Positive
3383,Money Control,natural gas,23.08.2016,U.S. natural gas climbs to 2-week high with warm weather in focus,0.286666667,0.513333333,Positive
3445,Money Control,natural gas,17.08.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of short covering after drop in prices.",0.081818182,0.311363636,Positive
3454,Money Control,natural gas,16.08.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of short coveringafter drop in prices.",0.081818182,0.311363636,Positive
3466,Money Control,natural gas,15.08.2016,U.S. natural gas futures extend recovery from 9-week lows,0.1,0.4,Positive
3494,Money Control,natural gas,11.08.2016,"According to Sushil Finance, We expect Natural gas prices to trade negative on the back of unfavorable weather conditions.",-0.066666667,0.266666667,Negative
3501,Money Control,natural gas,10.08.2016,"According to Sushil Finance, We expect Natural gas prices to trade sideways on the back of profit booking after sharp up-move in prices.",-0.008333333,0.383333333,Negative
3517,Money Control,natural gas,09.08.2016,U.S. natural gas futures fall for 4th straight session,0.15,0.4,Positive
3533,Money Control,natural gas,08.08.2016,U.S. natural gas futures slide 2% to more than 1-week low,0.2,0.4,Positive
3556,Money Control,natural gas,04.08.2016,U.S. natural gas futures edge higher after weekly storage data,0.175,0.45,Positive
3561,Money Control,natural gas,04.08.2016,"According to Sushil Finance, We expect Natural gas prices to trade positive on the back of  favorable weather conditions.",0.109090909,0.315151515,Positive
3580,Money Control,natural gas,02.08.2016,"According to Sushil Finance, We expect Natural gas prices to trade sideways on the back of profit  booking after up - move in prices.",0.05,0.2,Positive
3639,Money Control,natural gas,25.07.2016,U.S. natural gas futures drop after rising to 2-week high,0.13,0.47,Positive
3702,Money Control,natural gas,18.07.2016,U.S. natural gas futures flip between gains and losses,0.1,0.4,Positive
3739,Money Control,natural gas,13.07.2016,Natural gas futures rise for 2nd day ahead of weekly storage report,0.05,0.2,Positive
