Serial,Source,Commodity,Date,Sentence,Polarity,Subjectivity,Sentiment_Type
0,Money Control,gold,30.11.2018,"According to Angel Commodities, on Thursday, spot gold prices rose 0.21 percent to close at $1223.6 per ounce as the dollar steadied ahead of the meeting of U.S. President Donald Trump and China’s President Xi Jin Ping at G20 summit in Argentina which commences today to discuss the ir never  ending trade dispute.",0.6,0.95,Positive
2,Money Control,gold,29.11.2018,"Spot gold was up 0.7 percent at $1,222.45 per ounce at 2:48 p.m. EST (1948 GMT) after rising as much as 1 percent to $1,226.24.",0.2,0.2,Positive
4,Money Control,gold,28.11.2018,Sell gold December month expiry contract on break below 30548 for target of 30207-29987 with closing stop loss above 30760,0,0.1,Neutral
5,Money Control,gold,28.11.2018,"According to Angel Commodities,On Tuesday, spot gold prices declined 0.65 percent to close at $1214.3 per ounce as the dollar rallied after comments from U.S.",0,0,Neutral
6,Money Control,gold,28.11.2018,"Spot gold fell 0.6 percent to $1,214.64 per ounce at 1:54 p.m. EST (1854 GMT). During the session it touched its lowest since November 15 at $1,211.36.",0,0,Neutral
8,Money Control,gold,27.11.2018,"At the Multi Commodity Exchange, gold to be delivered in December up by Rs 46, or 0.15 per cent to trade at Rs 30,593 per 10 grams in a business turnover of 89 lots.",0,0,Neutral
10,Money Control,gold,27.11.2018,"Sell MCX silver December 2018 futures on rallies towards Rs 36,300 and MCX Gold December 2018 futures on rise towards Rs 30,600, says Pritam Kumar Patnaik of Reliance Commodities.",0,0,Neutral
12,Money Control,gold,27.11.2018,"Spot gold inched 0.1 percent lower to $1,221.70 per ounce at 0337 GMT.",0,0,Neutral
13,Money Control,gold,26.11.2018,"Spot gold inched 0.1 percent higher to $1,223.31 per ounce by 0415 GMT. US gold futures were up about 0.1 percent at $1,223.8 per ounce.",0.25,0.5,Positive
14,Money Control,gold,26.11.2018,"According to Angel Commodities,Last week, spot gold prices increased by 0.43 percent to trade at $1226. However, gold prices touched a low of $1217 as dollar slipped on account of the uncertainty of pace of future rate hikes by US FED.",0,0.2125,Neutral
16,Money Control,gold,25.11.2018,"Prospects of slower pace of policy tightening, weaker economic growth worries, downside movement in dollar and shifting of investors towards US treasuries will help gold prices to remain supportive going forward.",0.35,0.6,Positive
18,Money Control,gold,23.11.2018,"Spot gold was up 0.1 percent at $1,227.90 per ounce at 0439 GMT. The yellow metal was up around 0.5 percent after a 1 percent gain last week.",0,0.033333333,Neutral
21,Money Control,gold,22.11.2018,"At the Multi Commodity Exchange, gold for delivery in December was trading higher by Rs 34,or 0.11 per cent, to Rs 30,859 per 10 gram, in a business turnover of 676 lots.",0.25,0.5,Positive
22,Money Control,gold,22.11.2018,"According to Angel Commodities, on Wednesday, spot gold prices rose 0.39 percent to close at $1225.9 per ounce as the dollar slipped, with uncertainty on the pace of interest rate hikes by the U.S. Federal Reserve also supporting the metal.",0.425,0.6,Positive
25,Money Control,gold,22.11.2018,The dollar has been under pressure this week as cautious comments by Fed officials about a potential global slowdown raised doubts on the pace of rate hikes.,0,0.5,Neutral
26,Money Control,gold,21.11.2018,"Spot gold was down 0.3 percent at $1,220.01 per ounce at 1:35 p.m. EST (1835 GMT), putting it on course to snap a five-session winning streak.",0.172222222,0.519444444,Positive
30,Money Control,gold,20.11.2018,"At the Multi Commodity Exchange, gold prices for delivery in December was down by Rs 77, or 0.25 percent, to Rs 30,802 per 10 gram in a business turnover of 109 lots.",-0.155555556,0.288888889,Negative
31,Money Control,gold,20.11.2018,"According to Angel Commodities,on Monday, spot gold prices rose 0.21 percent to close at $1224 per ounce as the dollar fell, but the metal stayed in a tight range as investors held off on big moves ahead of the U.S. Thanksgiving holiday on Thursday.",0.14047619,0.445238095,Positive
33,Money Control,gold,20.11.2018,"Spot gold was 0.2 percent higher at $1,224.13 per ounce by 13:45 pm EST (1845 GMT) after hitting a one-week high of $1,225.29 in the previous session.",0.081111111,0.402222222,Positive
35,Money Control,gold,19.11.2018,"At the Multi Commodity Exchange, gold for delivery in far-month February next year was trading lower by Rs 34, or 0.11 per cent, at Rs 31,244 per 10 gram in a business turnover of 94 lots.",0,0,Neutral
37,Money Control,gold,19.11.2018,"Spot gold was little changed at $1,220.70 per ounce at 0417 GMT, having gained about 0.7 percent in the previous session.",-0.177083333,0.333333333,Negative
40,Money Control,gold,16.11.2018,"UK Prime Minister Theresa May's draft Brexit plan ran into dispute after the resignation of key ministers from her government and eurosceptic lawmakers stepped up efforts to topple her, provoking fears the country could crash out of the EU without a divorce deal.",0,1,Neutral
42,Money Control,gold,15.11.2018,"Despite the contraction, trade deficit widened to $17.13 billion in October, compared with $14.61 billion in the same month last year.",0,0.095833333,Neutral
