Serial,Source,Commodity,Date,Sentence,Polarity,Subjectivity,Sentiment_Type
1,Money Control,oil,29.11.2018,"According to Angel Commodities, MCX CPO Dec contract  traded flat on Wednesday and currently close to  15 - month low. It is under pressure this month on concern over higher imports volumes, sufficient stocks levels and falling international palm oil prices.",0.045,0.265,Positive
3,Money Control,oil,29.11.2018,"Selling picked up just prior to the market's settlement, extending a sell-off that has cut prices by more than 30 percent since the beginning of October.",0.25,0.25,Positive
7,Money Control,oil,28.11.2018,"US West Texas Intermediate (WTI) crude futures were at $52.00 per barrel at 0027 GMT, up 44 cents, or 0.9 percent from their last settlement.",-0.35,0.533333333,Negative
11,Money Control,oil,27.11.2018,"In futures trading at the Multi Commodity Exchange, crude for delivery in December fell further by Rs 25, or 0.68 per cent, to Rs 3,653 per barrel in a business volume of 418 lots.",-0.35,0.75,Negative
15,Money Control,oil,26.11.2018,"Front-month Brent crude oil futures rose 91 cents, or 1.6 percent, to $59.71 per barrel by 0520 GMT.",-0.05,0.975,Negative
17,Money Control,oil,23.11.2018,"Oil supply, led by U.S. producers, is growing more quickly than demand and to prevent a build-up of unused fuel such as the one that emerged in 2015, the Organization of the Petroleum Exporting Countries is expected to start trimming output after a meeting on Dec. 6.",0.183333333,0.475,Positive
19,Money Control,oil,23.11.2018,Markets were offered some support by an expectation that the Organization of the Petroleum Exporting Countries (OPEC) producer group will start withholding supply in 2019 to rein in any glut.,0,0,Neutral
23,Money Control,oil,22.11.2018,"Growth is slowing in major economies of the world. Emerging market economies are vulnerable too on account of the Federal Reserve's tight monetary policy, the muscular dollar and financial market volatility",-0.154017857,0.321428571,Negative
24,Money Control,oil,22.11.2018,"US commercial crude oil inventories rose by 4.9 million barrels to 446.91 million barrels last week, the Energy Information Administration (EIA) said in a weekly report on Wednesday. That was the highest level since December 2017.",-0.025,0.504166667,Negative
27,Money Control,oil,21.11.2018,"Crude imports in October climbed 10.5 percent from a year earlier to 21.02 million tonnes, the highest monthly import figure in PPAC data going back to April 2011.",-0.233333333,0.5,Negative
28,Money Control,oil,21.11.2018,"US West Texas Intermediate (WTI) crude futures ended the session down $3.77, or 6.6 percent, at $53.43 per barrel.",-0.427777778,0.644444444,Negative
32,Money Control,oil,20.11.2018,"US West Texas Intermediate (WTI) crude futures, were at $57.32 per barrel at 0048 GMT, up 12 cents, or 0.2 percent from their last settlement.",-0.35,0.533333333,Negative
36,Money Control,oil,19.11.2018,"At the Multi Commodity Exchange (MCX), crude oil for delivery in December was trading higher by Rs 40, or 0.97 per cent at Rs 4,149 per barrel in a business turnover of 2,067 lots.",-0.225,0.75,Negative
38,Money Control,oil,19.11.2018,"US West Texas Intermediate (WTI) crude futures, were up 71 cents, or 1.3 percent, at $57.17 per barrel.",-0.7,1,Negative
41,Money Control,oil,16.11.2018,"U.S. West Texas Intermediate (WTI) crude oil futures were at $56.84 per barrel at 0353 GMT, up 38 cents, or 0.7 percent, from their last settlement.",-0.35,0.533333333,Negative
43,Money Control,oil,15.11.2018,Oil prices have shed a fifth of their value over the past month due to oversupply and signs of a softer-than-expected impact from sanctions on Iranian crude exports.,-0.358333333,0.541666667,Negative
45,Money Control,oil,15.11.2018,"Oilís slide that has taken it into a bear market has been exacerbated by a U.S. decision to grant some nations waivers from its sanctions, allowing them to continue buying some Iranian crude.",-0.7,1,Negative
47,Money Control,oil,15.11.2018,"Brent crude settled up 65 cents, or 1 percent, at $66.12 a barrel, after hitting a session high of $67.63.",-0.27,0.77,Negative
50,Money Control,oil,14.11.2018,Analysts said sentiments remained weak as global crude oil prices fell to a one-year low of $ 65 a barrel in global markets Tuesday on surging supply and expectations of faltering demand.,-0.215,0.385,Negative
52,Money Control,oil,14.11.2018,"US West Texas Intermediate (WTI) crude oil futures were at $55.66 per barrel at 0043 GMT, down 3 cents from their last settlement.",-0.285185185,0.451851852,Negative
55,Money Control,oil,13.11.2018,"At the Multi Commodity Exchange, crude for delivery in November was trading lower by Rs 106, or 2.41 per cent, to Rs 4,297 per barrel in 2,576 lots.",-0.7,1,Negative
58,Money Control,oil,13.11.2018,"The IEA believes there will be around 300 million electric vehicles on the road by 2040, no change on its estimate a year ago. But it now expects those vehicles will cut demand by 3.3 million bpd, up from a previous estimated loss of 2.5 million bpd in its last World Energy Outlook.",-0.083333333,0.116666667,Negative
59,Money Control,oil,13.11.2018,"US West Texas Intermediate (WTI) crude oil futures were at $59.00 per barrel at 0014 GMT, down 93 cents, or 1.6 percent from their last settlement.",-0.285185185,0.451851852,Negative
60,Money Control,oil,12.11.2018,The agreement allows ADNOC to sell or trade crude oil storage in the storages to local refiners but give Indian government the first right to the oil in case of an emergency.,-0.041071429,0.467261905,Negative
64,Money Control,oil,12.11.2018,"At the Multi Commodity Exchange, crude oil for delivery in November was trading higher by Rs 84, or 1.93 per cent, to Rs 4,446 per barrel with a business turnover of 1,968 lots.",-0.225,0.75,Negative
65,Money Control,oil,12.11.2018,"International benchmark Brent crude oil futures were at $71.11 per barrel at 0051 GMT, up 93 cents, or 1.3 percent from their last close.",-0.233333333,0.355555556,Negative
66,Money Control,oil,12.11.2018,"Indian Strategic Petroleum Reserves Ltd (ISPRL) will sign an initial agreement with ADNOC on Monday in the presence of oil minister Dharmendra Pradhan, three sources with direct knowledge of the matter said.",0.05,0.2,Positive
67,Money Control,oil,12.11.2018,"Oil prices have shed a fifth of their value in just one month after surging to a four-year high in early October, driven by a combination of factors centred on higher supply and fears of sluggish demand.",0.17,0.446666667,Positive
68,Money Control,oil,11.11.2018,The global economy is faced with many challenges emanating from the trade war between the US and its allies.,0.25,0.25,Positive
69,Money Control,oil,09.11.2018,"Crude prices, which rose from $63/bbl in February 2018 to $86/bbl in October 2018, has started to decline recently.",-0.033333333,0.733333333,Negative
71,Money Control,oil,09.11.2018,"The United States, Russia and Saudi Arabia are pumping at or near record highs, producing more than 33 million barrels per day (bpd), a third of the world's oil.",0.2,0.3,Positive
73,Money Control,oil,09.11.2018,"Washington and the recipients of the waivers have not disclosed how much oil they are allowed to import, or under what conditions deals can still be made.",0.2,0.2,Positive
74,Money Control,oil,09.11.2018,Reuters technical commodity analyst Wang Tao said on Friday that 'Brent oil may slide further into a range of $68.59-$69.69 per barrel.',0,0.3,Neutral
75,Money Control,oil,09.11.2018,"The market focused on record US crude production and signals from Iraq, Abu Dhabi and Indonesia that output will grow more quickly than expected in 2019.",0.008333333,0.6,Positive
76,Money Control,oil,08.11.2018,"It put fuel consumption growth at 6 percent in 2019, up from 5.5 percent this year.",0,0,Neutral
77,Money Control,oil,08.11.2018,"U.S. West Texas Intermediate (WTI) crude oil futures were at $61.75 per barrel at 0120 GMT, up 8 cents from their last settlement.",-0.35,0.533333333,Negative
79,Money Control,oil,07.11.2018,The sources were responding to a report by Russia's TASS news agency that Russia and Saudi Arabia had started bilateral discussions over possible curbs to output in 2019.,0,1,Neutral
81,Money Control,oil,07.11.2018,"Front-month Brent crude oil futures were at $71.99 per barrel at 0552 GMT, down 14 cents, or 0.2 percent, from their last close.",-0.285185185,0.451851852,Negative
85,Money Control,oil,06.11.2018,"US West Texas Intermediate (WTI) crude futures were at $62.93 a barrel at 0021 GMT, down 17 cents, or 0.3 percent, from their last settlement.",-0.285185185,0.451851852,Negative
86,Money Control,oil,05.11.2018,"""In the next weeks all eyes will be on Iranian exports, whether there will be some cheating around US sanctions, and on how quickly production will fall,"" said Riccardo Fabiani, an analyst for Energy Aspects.",0.166666667,0.25,Positive
89,Money Control,oil,05.11.2018,Traders said persistent fall in crude oil at futures market is largely in sync with a weak trend overseas on higher supply from world's major crude producers and profit-booking by participants.,-0.208035714,0.675595238,Negative
94,Money Control,oil,05.11.2018,"US West Texas Intermediate (WTI) crude futures were down 53 cents, or 0.8 percent, at $62.61 a barrel.",-0.427777778,0.644444444,Negative
98,Money Control,oil,02.11.2018,Traders said the fall in crude oil futures is mostly in tandem with a weak trend overseas where it slipped to trade at seven-month low on concerns over weakening global demand and increased supply from the world's major oil producers.,-0.085416667,0.4875,Negative
99,Money Control,oil,02.11.2018,"According to Angel Commodities,MCX Oct CPO edged higher but closed flat on Thursday tracking improvement in domestic demand at lower levels.",0.03125,0.20625,Positive
101,Money Control,oil,02.11.2018,"Front-month Brent crude futures, the international benchmark for oil prices, were at $72.86 per barrel at 0041 GMT on Friday, down 3 cents from their last close.",-0.213888889,0.338888889,Negative
105,Money Control,oil,01.11.2018,"The Brent crude January futures contract lost 44 cents, or 0.32 percent, to trade at $74.72 per barrel by GMT 0054 GMT. West Texas Intermediate (WTI) crude futures fell 46 cents to $65.01 a barrel.",-0.7,1,Negative
107,Money Control,oil,31.10.2018,"Brent crude futures had gained 36 cents, or 0.5 percent, to $76.27 a barrel by 0110 GMT.",-0.7,1,Negative
110,Money Control,oil,30.10.2018,"Major emerging Asian economies such as India and Indonesia have been hit hard this year by rising crude oil prices, which despite falls this month are up by around 15 percent since the start of 2018.",-0.185833333,0.508333333,Negative
111,Money Control,oil,30.10.2018,"US West Texas Intermediate (WTI) crude futures were at $66.78 a barrel, down 26 cents, or 0.4 percent, from their last settlement.",-0.285185185,0.451851852,Negative
112,Money Control,oil,29.10.2018,"US West Texas Intermediate (WTI) crude futures were at $67.65 a barrel, up 6 cents from their last settlement.",-0.35,0.533333333,Negative
117,Money Control,oil,26.10.2018,Analysts said trading sentiments turned somewhat weak after oil prices eased in global markets and profit-booking by speculators at current levels.,-0.125,0.341666667,Negative
119,Money Control,oil,26.10.2018,Brent crude futures rose 72 cents to settle at $76.89 per barrel as US equities rose amid strong corporate earnings. The global benchmark has lost almost $10 a barrel since hitting a high of $86.74 on October 3.,0.156190476,0.596190476,Positive
123,Money Control,oil,25.10.2018,"Front-month Brent crude oil futures LCO were at $75.42 a barrel at 0043 GMT, 75 cents, or 1 percent, below their last close.",-0.35,0.533333333,Negative
127,Money Control,oil,24.10.2018,"Front-month Brent crude oil futures were at $76.37 a barrel at 0031 GMT, 7 cents below their last close.",-0.35,0.533333333,Negative
129,Money Control,oil,23.10.2018,"In futures trade at the Multi Commodity Exchange, crude oil for delivery in November was trading higher by Rs 14, or 0.27 per cent, at Rs 5,121 per barrel in 1,687 lots.",-0.225,0.75,Negative
131,Money Control,oil,23.10.2018,"Front-month Brent crude oil futures were trading at $79.87 a barrel at 0120 GMT, 4 cents above their last close.",-0.233333333,0.388888889,Negative
132,Money Control,oil,22.10.2018,"Benchmark Brent crude oil futures were at $80.26 a barrel at 0646 GMT, up 48 cents, or 0.6 percent, above their last close.",-0.233333333,0.388888889,Negative
134,Money Control,oil,22.10.2018,"Birol said he did not think that Saudi Arabia would cut production, but he has ""significant worries"" about the market because of falling supply from Venezuela and Iran amid strong demand growth.",0.404166667,0.804166667,Positive
135,Money Control,oil,22.10.2018,"US West Texas Intermediate (WTI) crude futures were at $69.31 a barrel, 19 cents above their last settlement.",-0.233333333,0.388888889,Negative
142,Money Control,oil,19.10.2018,"US West Texas Intermediate crude for October delivery was up 27 cents, or 0.4 percent, at $68.92 a barrel by 0124 GMT.",-0.7,1,Negative
144,Money Control,oil,18.10.2018,"But US President Donald Trump has been a vocal critic of the Organisation of the Petroleum Exporting Countries, blaming it for high oil prices and urging it to increase output to relieve pressure on a market hovering around four-year highs.",0.16,0.54,Positive
145,Money Control,oil,18.10.2018,"US West Texas Intermediate crude for October delivery was up 17 cents, or 0.2 percent, at $69.92 a barrel by 0031 GMT, after falling 3 percent in the previous session to settle below $70 for the first time in a month.",-0.205555556,0.5,Negative
150,Money Control,oil,17.10.2018,"At the Multi Commodity Exchange, crude oil for delivery in October contracts rose by Rs 6, or 0.11 per cent to Rs 5,288 per barrel in a business turnover of 8,340 lots.",-0.05,0.975,Negative
151,Money Control,oil,17.10.2018,"Brent crude was up 36 cents, or 0.4 percent, at $81.77 a barrel, after settling up 63 cents the session before.",-0.7,1,Negative
154,Money Control,oil,16.10.2018,Brent crude futures for December delivery rose 35 cents to settle at $80.78 a barrel. U.S. West Texas Intermediate (WTI) crude futures rose 44 cents to settle at $71.78 a barrel.,-0.05,0.975,Negative
155,Money Control,oil,16.10.2018,"Chances for future rate cuts, which were already very slim but were left on the table by policymakers in recent comments, were seen diminishing. This gave some support to the New Zealand dollar and pushed bond yields 2-3 basis points higher.",0.097727273,0.271590909,Positive
158,Money Control,oil,15.10.2018,"At the Multi Commodity Exchange, crude oil for delivery in November contracts was trading notably higher by Rs 85, or 1.62 per cent, to Rs 5,333 per barrel in a business turnover of 256 lots.",-0.225,0.75,Negative
161,Money Control,oil,15.10.2018,"Crude markets were also supported in the wake of data that showed South Korea did not import any oil from Iran in September for the first time in six years, before US sanctions against the Middle Eastern country take effect in November.",-0.15,0.444444444,Negative
162,Money Control,oil,14.10.2018,"The outlook for crude oil is mixed. Both the IEA and OPEC have cut demand growth projections for 2018 and 2019, citing the escalating trade war between the US and China",-0.35,0.625,Negative
167,Money Control,oil,12.10.2018,"Brent crude futures edged up 13 cents to $80.39 a barrel by 0042 GMT. The contract fell 3.4 percent on Thursday, after hitting a low of $79.80, its weakest since September 24.",-0.35,0.65,Negative
168,Money Control,oil,11.10.2018,"The move, taken under Recognition Prior Learning, aims to improve prospects of the drivers in job market through certification.",0,0,Neutral
171,Money Control,oil,11.10.2018,"At the Multi Commodity Exchange, crude oil for delivery in November declined by Rs 99, or 1.81 per cent, to Rs 5,364 per barrel, in a business turnover of 289 lots.",-0.7,1,Negative
173,Money Control,oil,11.10.2018,"Brent crude futures were down 66 cents, or 0.8 percent, at $82.43 a barrel by 0024 GMT. The global oil benchmark closed 2.2 percent lower on Wednesday after falling to a nearly two-week low.",-0.142592593,0.348148148,Negative
177,Money Control,oil,10.10.2018,"At the Multi Commodity Exchange, crude oil for delivery in October was trading down by Rs 28, or 0.50 per cent at Rs 5,546 per barrel in 122 lots.",-0.427777778,0.644444444,Negative
179,Money Control,oil,10.10.2018,"The International Monetary Fund downgraded its global economic growth forecasts for 2018 and 2019 on Tuesday, potentially tempering demand for oil and its products.",0.05,0.3,Positive
180,Money Control,oil,09.10.2018,"Brent crude was down 7 cents at $83.84 a barrel by 0020 GMT. On Monday, Brent fell to a low of $82.66, but mostly recovered as investors bet China's economic stimulus would boost crude demand. Brent hit a four-year high of $86.74 last week.",-0.086944444,0.486944444,Negative
182,Money Control,oil,08.10.2018,"Analysts said a weak trend in global market after the US said it may grant waivers to sanctions against Iran's oil exports next month and as Saudi Arabia was said to be replacing any potential shortfall from Iran, weighed on crude futures here.",-0.215,0.525,Negative
186,Money Control,oil,08.10.2018,"International benchmark Brent crude oil futures were at $83.26 per barrel at 0352 GMT, down 90 cents, or 1.1 percent, from their last close.",-0.213888889,0.338888889,Negative
187,Money Control,oil,07.10.2018,"""Geopolitical changes"" are the reason for the recent rise in crude prices, the state-run Qatar News Agency quoted him as saying",-0.35,0.625,Negative
188,Money Control,oil,07.10.2018,Ravindra V Rao of Anand Rathi Commodities said sentiment regarding oil might be weak this week while the first half of the week might be volatile for base metals.,-0.272916667,0.53125,Negative
190,Money Control,oil,06.10.2018,"The administration is ""in the midst of an internal process"" of considering exceptions called SRE waivers, or significant reduction exemptions, said a government official",0.1875,0.4375,Positive
191,Money Control,oil,05.10.2018,"At the Multi Commodity Exchange, crude oil for delivery in October was trading higher by Rs 21, or 0.38 per cent, to Rs 5,508 per barrel, in a business turnover of 1,398 lots.",-0.225,0.75,Negative
195,Money Control,oil,05.10.2018,"International benchmark Brent crude oil futures were at $84.94 per barrel at 0008 GMT, up 36 cents, or 0.4 percent from their last close.",-0.233333333,0.355555556,Negative
196,Money Control,oil,05.10.2018,"US oil shipments to India fell to 84,000 barrels per day (bpd) last month, down 75 percent from a record high of 347,000 bpd in June, Kpler data showed. India accounted for 12 percent of US crude exports in June.",-0.173888889,0.473888889,Negative
