Serial,Source,commodity,date,sentence,polarity,subjectivity,Sentiment_Type
9,Money Control,silver,27.11.2018,"Silver for delivery in December traded higher by Rs 60, or 0.17 per cent, at Rs 36,084 per kg in a business turnover of 1,234 lots at the Multi Commodity Exchange.",0.25,0.5,Positive
20,Money Control,silver,22.11.2018,"Silver for delivery in December traded higher by Rs 56, or 0.15 per cent, at Rs 36,965 per kg in a business turnover of 1,234 lots at the Multi Commodity Exchange.",0.25,0.5,Positive
29,Money Control,silver,20.11.2018,"Silver for delivery in December fell by Rs 104, or 0.28 per cent to trade at Rs 36,760 per kg in a business turnover of 117 lots at the Multi Commodity Exchange.",0,0,Neutral
34,Money Control,silver,19.11.2018,"At the Multi Commodity Exchange, silver for December was trading higher by Rs 89, or 0.24 per cent, to Rs 37,080 per kg in a business turnover of 342 lots.",0.25,0.5,Positive
48,Money Control,silver,14.11.2018,"The white metal for November, too, fell by Rs 111, or 0.30 per cent, at Rs 36,305 per kg in 273 lots.",0,0,Neutral
53,Money Control,silver,13.11.2018,"At the Multi Commodity Exchange, silver for delivery in December traded Rs 55, or 0.15 per cent down at Rs 36,640 per kg.",-0.155555556,0.288888889,Negative
61,Money Control,silver,12.11.2018,"At the Multi Commodity Exchange, silver for delivery in December was up by Rs 191, or 0.52 percent, to Rs 37,071 per kg in a business turnover of 582 lots.",0,0,Neutral
87,Money Control,silver,05.11.2018,"Silver to be delivered in December was down by Rs 76, or 0.20 per cent, to Rs 38,544 per kg at the Multi Commodity Exchange. It clocked a business volume of 571 lots.",-0.155555556,0.288888889,Negative
97,Money Control,silver,02.11.2018,"Silver for delivery in November was down by Rs 171, or 0.44 per cent, to Rs 38,640 per kg at the Multi Commodity Exchange. It clocked a business volume of 1,568 lots.",-0.155555556,0.288888889,Negative
102,Money Control,silver,01.11.2018,"In futures trading at the Multi Commodity Exchange (MCX), silver to be delivered in November was trading up by Rs 37, or 0.10 per cent to Rs 38,119 per kg, in a business turnover of 370 lots.",0,0,Neutral
114,Money Control,silver,27.10.2018,"Buy silver December futures contract in the range of Rs 38,750-38650 and Aluminum November futures contract in the range of Rs 148-147, says Pritam Kumar Patnaik of Reliance Commodities.",0,0,Neutral
