Date,Price,Open,High,Low,Vol.,Change %
7-Dec-18,14.696,14.55,14.735,14.51,-,1.29%
6-Dec-18,14.509,14.585,14.59,14.415,64.48K,-0.50%
5-Dec-18,14.582,14.605,14.62,14.49,32.86K,-0.40%
4-Dec-18,14.64,14.5,14.745,14.46,76.61K,0.97%
3-Dec-18,14.499,14.335,14.645,14.28,96.84K,1.32%
2-Dec-18,14.31,14.305,14.355,14.29,-,0.65%
30-Nov-18,14.217,14.375,14.41,14.115,78.67K,-1.28%
29-Nov-18,14.402,14.42,14.47,14.34,78.09K,-0.37%
28-Nov-18,14.455,14.24,14.49,14.205,60.28K,1.65%
27-Nov-18,14.221,14.335,14.405,14.185,41.22K,-0.85%
26-Nov-18,14.343,14.42,14.545,14.32,44.14K,-0.40%
25-Nov-18,14.4,14.405,14.425,14.39,-,0.23%
23-Nov-18,14.367,14.61,14.645,14.285,35.63K,-0.71%
22-Nov-18,14.47,14.475,14.52,14.435,-,-1.06%
21-Nov-18,14.625,14.44,14.66,14.38,21.11K,1.64%
20-Nov-18,14.389,14.535,14.595,14.33,36.25K,-0.95%
19-Nov-18,14.527,14.525,14.545,14.45,15.16K,0.95%
18-Nov-18,14.39,14.4,14.4,14.375,-,-0.82%
16-Nov-18,14.509,14.385,14.525,14.34,15.52K,0.85%
15-Nov-18,14.386,14.225,14.455,14.195,11.62K,1.29%
14-Nov-18,14.203,14.095,14.29,13.985,10.94K,0.74%
13-Nov-18,14.098,14.105,14.205,14.045,11.67K,0.62%
12-Nov-18,14.011,14.15,14.18,13.955,72.08K,-1.05%
11-Nov-18,14.16,14.13,14.16,14.13,-,0.14%
9-Nov-18,14.14,14.42,14.425,14.08,116.98K,-1.96%
8-Nov-18,14.423,14.57,14.575,14.365,91.31K,-1.00%
7-Nov-18,14.569,14.54,14.73,14.475,83.28K,0.48%
6-Nov-18,14.5,14.66,14.715,14.48,69.78K,-1.00%
5-Nov-18,14.647,14.74,14.775,14.595,67.84K,-0.80%
4-Nov-18,14.765,14.745,14.77,14.745,-,0.06%
2-Nov-18,14.756,14.78,14.92,14.655,106.74K,-0.14%
1-Nov-18,14.777,14.26,14.83,14.255,121.88K,3.47%
31-Oct-18,14.282,14.48,14.49,14.24,79.22K,-1.24%
30-Oct-18,14.462,14.47,14.53,14.375,76.30K,0.14%
29-Oct-18,14.442,14.72,14.78,14.405,93.78K,-1.82%
28-Oct-18,14.71,14.72,14.74,14.71,-,0.07%
26-Oct-18,14.7,14.66,14.795,14.595,84.75K,0.48%
25-Oct-18,14.63,14.72,14.8,14.61,70.47K,-0.31%
24-Oct-18,14.676,14.775,14.83,14.66,64.15K,-0.79%
23-Oct-18,14.793,14.585,14.84,14.54,86.18K,1.41%
22-Oct-18,14.587,14.65,14.715,14.54,57.81K,-0.53%
21-Oct-18,14.665,14.68,14.68,14.655,-,0.10%
19-Oct-18,14.65,14.6,14.74,14.58,57.03K,0.31%
18-Oct-18,14.604,14.625,14.68,14.47,76.14K,-0.40%
17-Oct-18,14.663,14.675,14.76,14.615,59.83K,-0.26%
16-Oct-18,14.701,14.725,14.88,14.64,67.28K,-0.18%
15-Oct-18,14.727,14.625,14.805,14.615,64.04K,0.46%
14-Oct-18,14.66,14.62,14.675,14.62,-,0.17%
12-Oct-18,14.635,14.62,14.735,14.54,70.70K,0.20%
11-Oct-18,14.606,14.335,14.65,14.275,97.85K,1.95%
10-Oct-18,14.326,14.42,14.455,14.255,61.50K,-0.51%
9-Oct-18,14.4,14.42,14.47,14.285,65.02K,0.50%
8-Oct-18,14.329,14.665,14.7,14.285,88.56K,-2.39%
7-Oct-18,14.68,14.665,14.695,14.665,-,0.21%
5-Oct-18,14.649,14.62,14.75,14.54,61.93K,0.40%
4-Oct-18,14.59,14.665,14.805,14.56,77.16K,-0.55%
3-Oct-18,14.67,14.73,14.855,14.65,66.41K,-0.16%
2-Oct-18,14.693,14.535,14.95,14.47,106.11K,1.28%
1-Oct-18,14.507,14.725,14.725,14.395,84.97K,-1.21%
30-Sep-18,14.685,14.69,14.72,14.685,-,-0.18%
28-Sep-18,14.712,14.27,14.755,14.255,117.07K,2.95%
27-Sep-18,14.29,14.375,14.48,14.195,87.46K,-0.77%
26-Sep-18,14.401,14.5,14.545,14.34,88.58K,-0.63%
25-Sep-18,14.493,14.295,14.595,14.25,97.95K,1.06%
24-Sep-18,14.341,14.325,14.42,14.22,65.87K,0.29%
23-Sep-18,14.3,14.325,14.33,14.295,-,-0.41%
21-Sep-18,14.359,14.35,14.465,14.18,103.37K,0.38%
20-Sep-18,14.305,14.285,14.385,14.21,87.10K,0.18%
19-Sep-18,14.28,14.185,14.375,14.175,79.41K,0.67%
18-Sep-18,14.185,14.23,14.265,14.105,69.08K,-0.27%
17-Sep-18,14.223,14.095,14.285,14.065,56.91K,1.02%
16-Sep-18,14.08,14.095,14.1,14.07,-,-0.44%
14-Sep-18,14.142,14.215,14.315,14.07,66.73K,-0.72%
13-Sep-18,14.244,14.295,14.39,14.19,82.53K,-0.34%
12-Sep-18,14.293,14.16,14.315,14.105,83.95K,0.99%
11-Sep-18,14.153,14.2,14.265,13.965,81.31K,-0.20%
10-Sep-18,14.181,14.16,14.285,14.11,54.12K,-0.10%
9-Sep-18,14.195,14.17,14.205,14.17,-,0.18%
7-Sep-18,14.17,14.19,14.29,14.105,81.29K,-0.08%
6-Sep-18,14.181,14.22,14.34,14.13,72.88K,-0.27%
5-Sep-18,14.22,14.19,14.265,14.125,67.29K,0.28%
4-Sep-18,14.18,14.575,14.59,14.035,141.42K,-2.34%
3-Sep-18,14.52,14.56,14.59,14.43,-,-0.27%
2-Sep-18,14.56,14.565,14.575,14.55,-,0.02%
31-Aug-18,14.557,14.595,14.76,14.525,62.90K,-0.25%
30-Aug-18,14.594,14.78,14.825,14.545,81.13K,-1.46%
29-Aug-18,14.81,14.775,14.845,14.71,63.74K,-0.60%
28-Aug-18,14.899,14.98,15.07,14.735,63.00K,-0.49%
27-Aug-18,14.972,14.935,14.995,14.82,35.01K,0.96%
26-Aug-18,14.83,14.835,14.84,14.8,-,-0.48%
24-Aug-18,14.901,14.575,14.96,14.555,42.81K,1.77%
23-Aug-18,14.642,14.845,14.845,14.555,33.04K,-1.40%
22-Aug-18,14.85,14.86,14.965,14.77,41.11K,-0.07%
21-Aug-18,14.86,14.83,14.92,14.795,25.75K,0.66%
20-Aug-18,14.762,14.845,14.92,14.72,19.75K,-0.02%
19-Aug-18,14.765,14.75,14.775,14.74,-,0.27%
17-Aug-18,14.725,14.735,14.89,14.675,12.91K,-0.56%
16-Aug-18,14.808,14.53,14.92,14.405,17.82K,1.78%
15-Aug-18,14.549,15.155,15.165,14.445,23.68K,-3.97%
14-Aug-18,15.15,15.095,15.2,15.08,9.93K,0.47%
13-Aug-18,15.079,15.41,15.44,15.065,18.58K,-1.61%
12-Aug-18,15.325,15.31,15.345,15.31,-,-0.44%
10-Aug-18,15.393,15.565,15.565,15.385,14.18K,-1.08%
9-Aug-18,15.561,15.535,15.62,15.48,14.78K,0.20%
8-Aug-18,15.53,15.485,15.565,15.39,8.88K,0.37%
7-Aug-18,15.472,15.405,15.6,15.405,12.40K,0.17%
6-Aug-18,15.446,15.53,15.595,15.4,7.94K,-0.06%
5-Aug-18,15.455,15.425,15.455,15.425,-,-0.69%
3-Aug-18,15.562,15.415,15.665,15.345,7.33K,0.50%
2-Aug-18,15.484,15.51,15.58,15.395,9.19K,-0.46%
1-Aug-18,15.555,15.645,15.66,15.5,6.88K,0.35%
31-Jul-18,15.5,15.555,15.555,15.52,0.35K,0.16%
30-Jul-18,15.475,15.44,15.47,15.41,0.32K,-0.23%
29-Jul-18,15.51,15.5,15.53,15.49,-,0.48%
27-Jul-18,15.436,15.355,15.495,15.355,0.11K,-0.01%
26-Jul-18,15.438,15.57,15.57,15.375,0.10K,-0.61%
25-Jul-18,15.533,15.435,15.435,15.435,0.05K,0.45%
24-Jul-18,15.463,15.345,15.495,15.345,0.07K,0.62%
23-Jul-18,15.368,15.505,15.505,15.355,0.02K,-1.14%
22-Jul-18,15.545,15.555,15.555,15.515,-,0.36%
20-Jul-18,15.49,15.4,15.48,15.4,0.28K,0.98%
19-Jul-18,15.34,15.21,15.325,15.135,0.05K,-1.05%
18-Jul-18,15.503,15.42,15.42,15.355,0.03K,-0.28%
17-Jul-18,15.546,15.71,15.71,15.505,0.37K,-1.20%
16-Jul-18,15.735,15.725,15.73,15.725,0.01K,-0.63%
15-Jul-18,15.835,15.805,15.855,15.805,-,0.61%
13-Jul-18,15.739,15.905,15.905,15.71,0.06K,-1.00%
12-Jul-18,15.898,15.87,15.935,15.87,0.04K,1.06%
11-Jul-18,15.732,15.735,15.735,15.735,0.05K,-1.69%
10-Jul-18,16.003,16.003,16.003,16.003,0.04K,-0.31%
9-Jul-18,16.053,16.17,16.17,16.09,0.04K,-0.29%
8-Jul-18,16.1,16.07,16.1,16.07,-,0.74%
6-Jul-18,15.981,15.945,16,15.93,0.16K,-0.17%
5-Jul-18,16.008,16.075,16.105,15.895,0.21K,-0.76%
4-Jul-18,16.13,16.08,16.195,16.04,-,1.12%
3-Jul-18,15.952,15.79,15.98,15.74,0.33K,1.32%
2-Jul-18,15.744,16.055,16.055,15.73,1.01K,-2.57%
1-Jul-18,16.16,16.145,16.18,16.135,-,0.35%
29-Jun-18,16.104,15.965,16.115,15.91,2.77K,0.96%
28-Jun-18,15.951,16.035,16.095,15.88,28.82K,-1.16%
27-Jun-18,16.139,16.139,16.139,16.139,0.00K,-0.61%
26-Jun-18,16.238,16.238,16.238,16.238,0.00K,-0.43%
25-Jun-18,16.308,16.31,16.31,16.295,0.00K,-1.01%
24-Jun-18,16.475,16.455,16.485,16.435,-,0.22%
22-Jun-18,16.439,16.305,16.305,16.295,0.01K,0.82%
21-Jun-18,16.306,16.306,16.306,16.306,-,0.10%
20-Jun-18,16.289,16.289,16.289,16.289,-,-0.09%
19-Jun-18,16.303,16.305,16.33,16.3,0.12K,-0.66%
18-Jun-18,16.412,16.412,16.412,16.412,0.01K,-1.04%
17-Jun-18,16.585,16.545,16.59,16.54,-,0.81%
15-Jun-18,16.452,17.18,17.22,16.625,0.02K,-4.49%
14-Jun-18,17.226,17.12,17.285,17.115,0.10K,1.61%
13-Jun-18,16.953,17.035,17.07,17.035,0.01K,0.62%
12-Jun-18,16.849,16.849,16.849,16.849,-,-0.33%
11-Jun-18,16.905,16.87,16.91,16.87,0.02K,0.71%
10-Jun-18,16.785,16.82,16.825,16.77,-,0.55%
8-Jun-18,16.694,16.735,16.76,16.735,0.02K,-0.43%
7-Jun-18,16.766,16.725,16.865,16.68,0.02K,0.75%
6-Jun-18,16.642,16.465,16.465,16.455,0.09K,0.92%
5-Jun-18,16.491,16.355,16.495,16.355,0.02K,0.68%
4-Jun-18,16.379,16.379,16.379,16.379,0.04K,-0.19%
3-Jun-18,16.41,16.43,16.43,16.405,-,0.13%
1-Jun-18,16.388,16.388,16.388,16.388,0.01K,-0.09%
31-May-18,16.402,16.5,16.5,16.5,0.07K,-0.47%
30-May-18,16.479,16.34,16.505,16.26,0.40K,1.07%
29-May-18,16.305,16.4,16.4,16.4,0.13K,-1.15%
28-May-18,16.495,16.51,16.525,16.44,-,-0.09%
27-May-18,16.51,16.53,16.53,16.49,-,0.18%
25-May-18,16.481,16.55,16.55,16.535,0.06K,-0.84%
24-May-18,16.621,16.621,16.621,16.621,0.84K,1.73%
23-May-18,16.338,16.295,16.295,16.285,0.03K,-1.03%
22-May-18,16.508,16.54,16.54,16.54,0.07K,0.34%
